Taxon	Colour	Group
Cymothoida_Epicaridea_Cryptoniscoidea_Cymodoce	'#ffcc66'	Cryptoniscoidea
Cymothoida_Epicaridea_Cryptoniscoidea_Dajidae_Holophryxus_sp	'#ffcc66'	Cryptoniscoidea
Cymothoida_Epicaridea_Cryptoniscoidea_Dajidae_Zonophryxus_quinquedens	'#ffcc66'	Cryptoniscoidea
Cymothoida_Epicaridea_Cryptoniscoidea_Entophilidae_Entophilus_mirabiledictu	'#ffcc66'	Cryptoniscoidea
Limnoriidea_Limnoriidae_Limnoria_quadripunctata	'#00ffff'	Limnoriidea
Microcerberidea_Microcerberidae_Coxicerberus_fukudai	'#00ff00'	Microcerberidea
Oniscidea_Crinocheta_Actaeciidae_Actaecia_sp	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Agnaridae_Hemilepistus_klugii	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Agnaridae_Mongoloniscus_sinensis	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Alloniscidae_Alloniscus_perconvexus	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Armadillidae_Armadillo_officinalis	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Armadillidae_Cubaris_murina	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Armadillidae_Spherillo_sp	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Armadillidiidae_Armadillidium_vulgare	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Armadillidiidae_Eluma_caelatum	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Balloniscidae_Balloniscus_sellowii	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Cylisticidae_Cylisticus_convexus	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Oniscidae_Oniscus_asellus	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Paraplatyarthridae_Paraplatyarthrus_pallidus	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Philosciidae_Atlantoscia_inflata	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Philosciidae_Burmoniscus_meeusei	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Philosciidae_Chaetophiloscia_elongata	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Philosciidae_Haloniscus_sp	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Philosciidae_Philoscia_muscorum	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Platyarthridae_Platyarthrus_schoebli	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Platyarthridae_Trichorhina_tomentosa	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Porcellionidae_Porcellio_scaber	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Porcellionidae_Porcellionides_pruinosus	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Scyphacidae_Deto_marina	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Stenoniscidae_Stenoniscidae_sp	'#ff6fcf'	Crinocheta
Oniscidea_Crinocheta_Trachelipodidae_Porcellium_fiumanum	'#ff6fcf'	Crinocheta
